Name;Code;hotel;hotel-href;text;NatCity;NatMount;NatSea;EntClub;EntKid;EntRom;ActSpo;ActSho;ActCul;ActAdv;price
Madrid Hotels;1;Urban Hotel Madrid;http://www.tripadvisor.com/Hotel_Review-g187514-d296957-Reviews-Urban_Hotel_Madrid-Madrid.html;A grand luxury five-star hotel located in the very heart of Madrid, in the museum triangle formed by the Museo del Prado, the Thyssen-Bornemisza Museum and the Queen Sofia Foundation and just a few minutes away from Paseo del Prado, Puerta del Sol and El Retiro park.Located in a newly constructed building in the heart of the financial, political, commercial and cultural centre of Madrid, the Hotel Urban won't fail to catch your interest.With a marked Art-Deco style and opting for avant-garde architecture, the Hotel Urban is a boutique hotel from the 21st century, urban, design and ideal for exacting lovers of luxury who shy from conventionality. A charming, modern design hotel that has already become a point of reference. It stands out not only in the hotel panorama but also among Madrid's dining establishments and nighttime entertainment venues thanks to Europa DecÃ_ and the Glass Bar.Services102 guest rooms: 78 superior rooms, 10 junior suite duplex, 5 junior suites, 8 suites, and 1 d;3;0;0;1;0;3;0;3;3;0;3
Sardinia Hotels;2;Pullman Timi Ama Sardegna;http://www.tripadvisor.com/Hotel_Review-g194949-d231310-Reviews-Pullman_Timi_Ama_Sardegna-Villasimius_Province_of_Cagliari_Sardinia.html;In an enchanting position, in the extreme southeast of the island, Pullman Timi Ama Sardegna is set 55 km from Cagliari international airport and 2 km from the small town of Villasimius. Set in an idyllic bay dominated by an Aragonese tower, the hotel is shrouded in a Mediterranean vegetation. Inside the Protected Area of Capo Carbonara, among a natural salty lake and a marvelous white sandy beach, discover in Pullman Timi Ama Sardegna a new state of mind.;1;0;3;0;1;3;2;1;2;2;3
Corfu Hotels;3;MarBella Corfu Hotel;http://www.tripadvisor.com/Hotel_Review-g4283440-d240844-Reviews-MarBella_Corfu_Hotel-Agios_Ioannis_Peristeron_Corfu_Ionian_Islands.html;The resort complex consists of two main buildings and cluster buildings of Mediterranean architecture, all overlooking the graceful Corfiot costline and the colourful sub-tropical property gardens. Marbella Corfu reveals luxurious and spacious accommodation, combined with elegantly decorated restaurants, terraces, lounges and bars offering unique views of the Ionian Sea.The lush greenery along with a brand new cascade sea-water swimming pool invites you to indulge in comfort and style.Various water sports facilities await you at the beach. An idyllic area with olive trees and straw umbrellas is located next to the beach, providing the perfect scenery for sport and relaxation.;0;0;3;0;2;2;3;1;1;3;2
Madrid Hotels;4;Hotel One Shot Prado 23;http://www.tripadvisor.com/Hotel_Review-g187514-d3722055-Reviews-Hotel_One_Shot_Prado_23-Madrid.html;Art, culture, beauty and creation, are part of the day to day of the hotel, not with added elements, but firmly established in its identity and expressed along the distribution of its spaces, in the design of its environments or for its selected furniture. We are referring to a very unconventional hotel, full of positive atmosphere and always on the move, that will surprise you.;3;0;0;1;1;2;0;3;2;0;2
Berlin Hotels;5;InterContinental Berlin;http://www.tripadvisor.com/Hotel_Review-g187323-d2184676-Reviews-InterContinental_Berlin-Berlin.html;A choice of 498 rooms and 60 suites all guaranteeing a new lifestyle experience. Modern yet discreet. Welcoming. Relaxing. Elegant. Our Club InterContinental offers a dedicated check in, a personal Guest Service Agent and a separate lounge with snack buffets during the day. The spa and sauna landscape of the Spa InterContinental spreads over a generous 1000 mÂ_ dedicated to your sheer well being. Our gym is optimally equipped and open 24 hours and 7 days a week. Panoramic views and heavenly food at Hugos Gourmet restaurant on the 14th floor. An elegant setting where our top flight Chef creates an haute cuisine dining experience garnished with one Michelin star and 17 points in the Gault Millau. From exquisitely lavish breakfasts to light business lunches the L.A. Cafe offers the best in fine food from early in the morning until late at night. Marlene Bar is the favourite venue for meeting and greeting. The InterContinental Berlin is a 15-minute walk from the KurfÃ_rstendamm shopping stre;3;0;0;2;0;3;3;3;2;0;3
London Hotels;6;The Rubens at the Palace;http://www.tripadvisor.com/Hotel_Review-g186338-d199868-Reviews-The_Rubens_at_the_Palace-London_England.html;Traditional, Edwardian-era hotel, originally built as a debutante hostel for nearby Buckingham Palace.;3;0;0;3;0;2;0;3;2;0;1
Rimini Hotels;7;Aqua Hotel;http://www.tripadvisor.com/Hotel_Review-g187807-d1475950-Reviews-Aqua_Hotel-Rimini_Province_of_Rimini_Emilia_Romagna.html;Thank you for visiting Aqua Hotel... welcome!Inaugurated in June 2009, this elegant contemporary building is the minimalist reinterpretation of one of the oldest hotels of the city. Idyllically set in the exclusive residential area of Marina Centro, it rises just in the heart of a privileged location.Enjoy peace and tranquillity a short distance from the sea, go shopping in the old town or walk along the nearby promenade. Located in a very central position, our hotel is the ideal accommodation facility for those interested in attending the city's most important congresses, trade shows and events, and gives them the possibility to enjoy modern comforts and high-quality services and facilities.;2;0;3;2;2;2;1;3;1;1;1
Sardinia Hotels;8;Grand Hotel Resort Ma&Ma;http://www.tripadvisor.com/Hotel_Review-g612430-d4067424-Reviews-Grand_Hotel_Resort_Ma_Ma-La_Maddalena_Maddalena_Islands_Province_of_Olbia_Tempio_Sardi.html;The Ma&Ma (Grand Hotel Resort) has overcome a noteworthy challenge in building an extra luxury resort with a low impact on the surrounding environment. The magnificent elegance and functionality are conveyed in a stylish aesthetic design which coexists with the more rigorous green style.;0;1;3;0;2;3;2;1;1;3;2
Barcelona Hotels;9;Hotel Granvia;http://www.tripadvisor.com/Hotel_Review-g187497-d208596-Reviews-Hotel_Granvia-Barcelona_Catalonia.html;Hotel Granvia, a historical manor built in 1870 and totally renovated in 2013, offers 53 completely unique rooms, including triples and family rooms. A lobby featuring elegant 19th century styling, a business center with free Internet access, and a splendid terrace boasting 500mÂ_ of gardens make the hotel an ideal place for enjoying Barcelona in high season.Strategically located in the heart of Barcelona, just steps away from Plaza Catalunya and the Paseo de Gracia, Hotel Granvia it is surrounded by some of the cityâ€™s most emblematic and impressive architectural structures, among them the Pedrera, Casa Batllo, Palau Robert, Casa Fargas, and Casa Ametller.;3;0;1;2;1;2;1;2;3;0;3
Corsica Hotels;10;Hotel U Capu Biancu;http://www.tripadvisor.com/Hotel_Review-g612416-d565582-Reviews-Hotel_U_Capu_Biancu-Bonifacio_Corse_du_Sud_Corsica.html;Choosing U Capu Biancu is above all an original choice of vacation location, because nothing here is like anywhere else!;1;2;3;1;2;2;3;3;1;2;2
